"date","CA","CL","GLPOC","K","NA","cohort"
2019-11-19,18,51,56,51,0,"pre-fix"
2019-11-20,23,53,41,52,0,"pre-fix"
2019-11-21,18,70,50,70,0,"pre-fix"
2019-11-22,19,64,56,63,0,"pre-fix"
2019-11-23,18,58,54,58,0,"pre-fix"
2019-11-24,18,51,66,52,0,"pre-fix"
2019-11-25,20,62,51,62,0,"pre-fix"
2019-11-26,15,62,56,61,0,"pre-fix"
2019-11-27,21,58,52,59,0,"pre-fix"
2019-11-28,11,57,60,57,0,"pre-fix"
2019-11-29,20,61,72,60,0,"pre-fix"
2019-11-30,15,53,52,51,0,"pre-fix"
2019-12-01,15,60,79,60,0,"pre-fix"
2019-12-02,14,72,74,72,0,"pre-fix"
2019-12-03,14,57,83,55,0,"pre-fix"
2019-12-04,9,62,91,62,0,"pre-fix"
2019-12-05,14,58,77,57,0,"pre-fix"
2019-12-06,12,44,64,43,0,"pre-fix"
2019-12-07,7,38,60,37,0,"pre-fix"
2019-12-08,12,40,61,40,0,"pre-fix"
2019-12-09,17,60,57,60,0,"pre-fix"
2019-12-10,13,48,68,47,0,"pre-fix"
2019-12-11,14,47,59,47,0,"pre-fix"
2019-12-12,12,43,62,42,0,"pre-fix"
2019-12-13,21,65,55,64,0,"pre-fix"
2019-12-14,15,52,42,51,0,"pre-fix"
2019-12-15,15,52,59,52,0,"pre-fix"
2019-12-16,24,56,65,54,0,"pre-fix"
2019-12-17,24,51,63,53,0,"pre-fix"
2019-12-18,22,61,50,61,0,"pre-fix"
2019-12-19,13,66,70,65,0,"pre-fix"
2019-12-20,24,72,68,72,68,"post-fix"
2019-12-21,23,66,69,66,66,"post-fix"
2019-12-22,17,62,82,62,62,"post-fix"
2019-12-23,30,87,90,86,87,"post-fix"
2019-12-24,32,77,82,77,77,"post-fix"
2019-12-25,25,60,80,60,60,"post-fix"
2019-12-26,20,81,84,81,81,"post-fix"
2019-12-27,29,79,70,79,79,"post-fix"
2019-12-28,16,70,87,70,70,"post-fix"
2019-12-29,20,67,98,66,67,"post-fix"
2019-12-30,20,61,67,61,61,"post-fix"
2019-12-31,16,53,62,53,53,"post-fix"
2020-01-01,18,53,64,53,53,"post-fix"
2020-01-02,23,82,113,79,82,"post-fix"
2020-01-03,21,76,100,75,76,"post-fix"
2020-01-04,23,74,87,74,75,"post-fix"
2020-01-05,26,85,105,86,85,"post-fix"
2020-01-06,21,76,75,76,77,"post-fix"
2020-01-07,16,91,91,90,91,"post-fix"
2020-01-08,17,85,109,84,84,"post-fix"
2020-01-09,14,75,120,75,75,"post-fix"
2020-01-10,15,74,109,74,74,"post-fix"
2020-01-11,14,73,92,72,73,"post-fix"
2020-01-12,16,63,82,63,63,"post-fix"
2020-01-13,16,72,91,72,72,"post-fix"
2020-01-14,21,65,65,64,65,"post-fix"
2020-01-15,22,80,79,80,80,"post-fix"
2020-01-16,19,65,69,66,65,"post-fix"
2020-01-17,24,68,58,67,68,"post-fix"
2020-01-18,25,62,48,62,62,"post-fix"
2020-01-19,23,54,58,55,54,"post-fix"
2020-01-20,33,74,62,73,73,"post-fix"
